みます;見ます;mimasu;see/look
さがします;探します;sagashimasu;search
おくれます;遅れます;okuremasu;be late
まにあいます;間に合います;maniaimasu;be on tim
やります;遣ります;yarimasu;do/perform
ひろいます;拾います;horoimasu;pick up/gather
れんらくします;連絡します;Renraku shimasu;contact
きぶんがいい;気分が良い;kibungayoi;feel good
きぶんがわるい;気分が悪い;kibungawarui;feel bad
うんどうかい;運動会;undoukai;sports day
ぼんおどり;盆踊り;bonodori;Bon Festival dance
フリーマーケット;フリーマーケット;furi-ma-ketto;flea market
ばしょ;場所;basho;place/position
ボランティア;ボランティア;borantia;volunteer
さいふ;財布;saifu;purse/wallet
ごみ;塵;gomi;rubbish
こっかいぎじどう;国会議事堂;kokkaigijidou;Houses of Parliament
へいじつ;平日;heijitsu;weekday
べん;弁;ben;speech/tongue
こんど;今度;kondo;next time
ずいぶん;随分;zuibun;considerably
ちょくせつ;直接;chokusetsu;direct
いつでも;いつでも;itsudemo;any when
どこでも;どこでも;dokodemo;any where
だれでも;だれでも;daredemo;any one
なんでも;なんでも;nandemo;any thing
こんな;こんな;konna;like this
そんな;そんな;sonna;like that
かたづきます;片付きます;katadukimasu;put in order
だします;出します;Dashimasu;take out/publish/submit
もえるごみ;燃えるゴミ;moerugomi; burnable waste
おきば;置き場;okiba;storehouse
よこ;横;yoko;side-to-side
びん;瓶;bin;bottle
かん;缶;kan;can/tin
うちゅう;宇宙;uchuu;universe
さま;様;sama;Mr., Mrs., Miss, Ms
うちゅうせん;宇宙船;uchuusen;spaceship
こわい;怖い;kowai;scary
うちゅうステーション;宇宙ステーション;uchuusute-shon;space station
ちがいます;違います;chigaimasu;differ
うちゅうひこうし;宇宙飛行士;uchuuhikoushi;astronaut
