かいます;飼います;kaimasu;to keep (pet)
はしります;走ります;hashirimasu;run
みち;道;michi;road
みえます;見えます;miemasu;see/to be seen
きこえます;聞こえます;kikoemasu;to be heard/audible
おと;音;oto;sound
できます;出来ます;dekimasu;o be ready/completed
ひらきます;開きます;hirakimasu;open
しんぱい;心配;shinpai;worry
ペット;ペット;petto;pet
とり;鳥;tori;bird
こえ;声;koe;voice
はなび;花火;hanabi;fireworks
どうぐ;道具;dougu;tool/instrument
クリーニング;クリーニング;Kuriningu;cleaning/washing
いえ;家;ie;hourse
マンション;マンション;manshon;mansion
キッチン;キッチン;kitchin;kitchen
パーティールーム;パーティールーム;Patirumu;party room
かた;方;kata;direction
うしろ;後;ushiro;back/behind
しか;しか;shika;only
ほか;外;ほか;other
はっきり;はっきり;hakkiri;clearly
かぐ;家具;kagu;furniture
ほんだな;本棚;hondana;bookshelves
すばらしい ;素晴らしい;subarashii;wonderful
こどもたち;子どもたち;kodomotachi;children
しゅじんこう;主人公;shujinkou;main character
かたち;形;katachi;form/shape
ふしぎ;不思議;fushigi;miraculous/mysterious
ポケット;ポケット;poketto;pocket
たとえば;例えば;tatoeba;for example
つけます;付けます;tsukemasu;attach/append
じゆう;自由;jiyuu;freedom
そら;空;sora;sky
とびます;飛びます;tobimasu;fly
むかし;昔;mukashi;olden days
じぶん;自分;jibun;one's shelf
しょうらい;将来;shourai;future
