さきます;咲きます;sakimasu;bloom
かわります;変わります;kawarimasu;change
こまります;困ります;komarimasu;trouble
ひろいます;拾います;hiroimasu;pick up
かかります;掛かります;kakarimasu;get a phone
らく;楽;raku;easy
ただしい;正しい;tadashii;correct
めずらしい;珍しい;mezurashii;rare
むこう;向こう;mukou;over there
しま;島;shima;island
みなと;港;minato;harbor
きんじょ;近所;kinjo;neighborhood
おくじょう;屋上;okujou;roof
かいがい;海外;kaigai;foreign
やまのぼり;山登り;yamanobori;moutain climbing
ハイキング;ハイキング;haikingu;hiking
きかい;機会;kikai;chance
きょか;許可;kyoka;permission
まる;丸;maru;circle
そうさ;操作;sousa;operation
ほうほう;方法;houhou;method
せつび;設備;setsubi;facility
カーテン;カーテン;katen;curtain
ひも;紐;himo;rope
ふた;蓋;futa;lid
は;葉;ha;leaf
きょく;曲;kyoku;song
たのしみ;楽しみ;tanoshimi;fun
もっと;もっと;motto;more over
はじめに;初めに;hajimeni;at first
それなら;それなら;sorenara;in that case
りょこうしゃ;旅行社;ryokousha;tourist company
くわしい;詳しい;kuwashii;detail
しゅ;朱;shu;red
まじわります;交わります;majiwarimasu;associate with
ことわざ;諺;kotowaza;proverb
なかよくします;仲よくします;nakayokushimasu;in harmony/in good relationship
ひつよう;必要;hitsuyou;estential
