とどきます;届きます;todokimasu;(luggage)send to
でます;出ます;demasu;take part in (match)
うちます;打ちます;uchimasu;type
ちょきんします;貯金します;chokinshimasu;save (money)
ふとります;太ります;futorimasu;get fat
やせます;痩せます;yasemasu;get thin
すぎます;過ぎます;sugimasu;pass (time)
なれます;慣れます;naremasu;get used to
かたい;硬い;katai;hard
やわらかい;軟らかい;yawarakai;soft
でんし;電子;denshi;electronics
けいたい;携帯;keitai;mobile phone/carrying on hand
こうじょう;工場;koujou;workshop
けんこう;健康;kenkou;health
けんどう;剣道;kendou;kendo
まいしゅう;毎週;maishuu;every week
まいつき;毎月;maitsuki;every month
まいとし;毎年;maitoshi;every year
やっと;やっと;yatto;at last
かなり;可也;kanari;rather/considerably
かならず;必ず;kanarazu;surely
ぜったいに;絶対に;zettaini;definitely
じょうずに;上手に;jouzuni;skillful
できるだけ;出来るだけ;dekirudake;as much as possible
このごろ;この頃;konogoro;recently
おきゃくさま;お客様;okyakusama;customer
とくべつ;特別;tokubetsu;special
すいえい;水泳;suiei;swimming
きもち;気持ち;kimochi;feeling
のりもの;乗り物;norimono;means of transport
れきし;歴史;rekishi;history
