いただきます;頂きます;itadakimasu;receive
くださいます;くださいます;kudasaimasu;please
よびます;呼びます;yobimasu;invite
とりかえます;取り替えます;torikaemasu;exchange/replace
しんせつにします;親切にします;shinsetsunishimasu;be kind
かわいい;可愛い;kawaii;cute
おいわい;お祝い;oiwai;congratulatory gift, present
おとしだま;お年玉;otoshidama;new year gift
[お]みまい;[お]見舞い;[o]mimai;visit
きょうみ;興味;kyoumi;interest
じょうほう;情報;jouhou;information
ぶんぽう;文法;bunpou;grammar
はつおん;発音;hatsuon;pronunciation
さる;猿;saru;monkey
えさ;餌;esa;animal food
おもちゃ;玩具;omocha;toy
えほん;絵本;ehon;picture book
えはがき;絵はがき;ehagaki;postcard
ドライバー;ドライバー;doraiba;driver
ハンカチ;ハンカチ;hankachi;handkerchief
くつした;靴下;kutsushita;socks
てぶくろ;手袋;tebukuro;gloves
ゆびわ;指輪;yubiwa;ring
バッグ;バッグ;baggu;bag
そふ;祖父;sofu;grandfather
そぼ;祖母;sobo;grandmother
まご;孫;mago;grandchild
おじ;叔父;oji;(my) uncle
おじさん;伯父さん;ojisan;uncle
おば;叔母;oba;(my) aunt
おばさん;叔母さん;obasan;aunt
おととし;一昨年;ototoshi;year before last
もうしわけありません;申し訳ありません;moushiwakearimasen;I'm sorry
あずかります;預かります;azukarimasu;keep for
せんじつ;先日;senjitsu;a few days before
たすかります;助かります;tasukarimasu;thanks for help
むかしばなし;昔話;mukashibanashi;fairy tale
おとこ;男;otoko;man
こどもたち;子供たち;kodomotachi;children
いじめます;苛めます;ijimemasu;bully
かめ;亀;kame;turtle
たすけます;助けます;tasukemasu;help
しろ;城;shiro;castle
おひめさま;お姫様;ohimesama;princess
たのしく;楽しく;tanoshiku;funny
くらします;暮らします;kurashimasu;live
りく;陸;riku;land
すると;すると;suroto;thereafter
けむり;煙;kemuri;smoke
まっしろ;真っ白;masshiro;pure white
なかみ;中身;nakami;content
