あやまります;謝ります;ayamarimasu;apologize
しんじます;信じます;shinjimasu;believe
よういします;用意します;youishimasu;prepare
キャンセルします;キャンセルします;kyanserushimasu;cancel
うまくいきます;上手くいく;umakuikimasu;smoothly
ほしょうしょ;保証書;hoshousho;warranty
りょうしゅうしょ;領収書;ryoushuusho;receipt
おくりもの;贈り物;okurimono;present/gift
まちがいでんわ;まちがい電話;machigaidenwa;wrong phone
キャンプ;キャンプ;kyanpu;camp
ちゅうし;中止;chuushi;stop
レバー;レバー;reba;lever
ちゃんと;ちゃんと;chanto;properly
きゅうに;急に;kyuuni;urgent
たのしみにしています;楽しみにしています;tanoshiminishiteimasu;look forward
いじょうです;以上です;ijoudesu;that's all
かかりいん;係員;kakariin;employee
コース;コース;kosu;course
スタート;スタート;suta-to;start
い;位;i;rank
ゆうしょうします;優勝します;yuushoushimasu;championship
なやみ;悩み;nayami;worries
めざまし;目覚まし;mezamashi;alarm clock
めがさめます;目が覚めます;megasamemasu;wake up
かいとう;回答;kaitou;answer
なります;鳴ります;narimasu;ring
セットします;セットします;settoshimasu;set up
それでも;それでも;soredemo;nevertheless
