わたします;渡します;watashimasu;pass/hand
かえってきます;帰って来ます;kaettekimasu;come back
でます;出ます;demasu;leave station
るす;留守;rusu;absence
たくはいびん;宅配便;takuhaibin;home delivery
げんいん;原因;genin;cause
ちゅうしゃ;注射;chuusha;injection
しょくよく;食欲;shokuyoku;appetite
パンフレット;パンフレット;panfuretto;pamplet
ステレオ;ステレオ;sutereo;stereo
ちょうど;ちょうど;choudo;just/precisely
たったいま;たった今;tattaima;right now
ぐあい;具合;guai;condition
むかいます;向かいます;mukaimasu;head to
ちしき;知識;chishiki;knowledge
ほうこ;宝庫;houko;treasure
てに　はいります;手に入ります;teni　hairimasu;collect
システム;システム;shisutemu;system
キーワード;キーワード;ki-wa-do;keyword
いちぶぶん;一部分;ichibubun;partially
にゅうりょくします;入力します;nyuuryokushimasu;enter
びょう;秒;byou;seconds
