つとめます;勤めます;tsutomemasu;work
かけます;掛けます;kakemasu;be over
すごします;過ごします;sugoshimasu;spend (time)
よります;寄ります;yorimasu;drop by
めしあがります;召し上がります;meshiagarimasu;eat
ごらんになります;ご覧になります;goranninarimasu;see
ごぞんじです;ご存じです;gozonjidesu;know
あいさつ;挨拶;aisatsu;greeting
はいざら;灰皿;haizara;astray
りょかん;旅館;ryokan;Japanese hotel
かいじょう;会場;kaijou;venue
バスてい;バス停;basutei;bus station
ぼうえき;貿易;boueki;trade
かえりに;帰りに;kaerini;on way back home
たまに;偶に;tamani;seldom
ちっとも;ちっとも;chittomo;not at all
えんりょなく;遠慮なく;enryonaku;don't hesitate
こうし;講師;koushi;teacher
おおくの;多くの;ookuno;many
じゅしょうします;受賞します;jushoushimasu;be awarded
せかいてきに;世界的に;sekaitekini;world wide
さっか;作家;sakka;writer
ちょうなん;長男;chounan;eldest son
しょうがい;障害;shougai;handicapped
おもちです;お持ちです;omochidesu;have/possess
さっきょく;作曲;sakkyoku;compose
かつどう;活動;katsudou;activity
