まいります;参ります;mairimasu;go
もうします;申します;moushimasu;say
はいけんします;拝見します;haikenshimasu;see
ぞんじます;存じます;zonjimasu;know
うかがいます;伺います;ukagaimasu;visit
おめにかかります;お目にかかります;omenikakarimasu;meet
ございます;御座います;gozaimasu;exist
でございます;で御座います;degozaimasu;be/is
わたくし;私;watakushi;I
ガイド;ガイド;gaido;guider
おたく;お宅;otaku;house
こうがい;郊外;kougai;suburb
アルバム;アルバム;arubamu;album
はんとし;半年;hantoshi;half year
さいしょに;最初に;saishoni;firstly
さいごに;最後に;saigoni;finally
きんちょうします;緊張します;kinchoushimasu;nervous
ほうそうします;放送します;housoushimasu;broadcast
しょうきん;賞金;shoukin;bonus
しぜん;自然;shizen;nature
きりん;麒麟;kirin;giraffe
ぞう;像;zou;elephant
かないます;叶います;kanaimasu;(dream)come true
きょうりょくします;協力します;kyouryokushimasu;cooperate
こころから;心から;kokorokara;from one's heart
かんしゃします;感謝します;kanshashimasu;appreciate
れい;礼;rei;thanks
はいけい;拝啓;haikei;dear sir
めいわく;迷惑;meiwaku;bothersome
いかします;生かします;ikashimasu;make (best) use of
けいぐ;敬具;keigu;sincerely
